"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_SGUNPLAY_MOD_INFO_TOOLTIP","sUDE","sUDE","sUDE","sUDE","sUDE","sUDE","sUDE","sUDE","sUDE","sUDE","sUDE","sUDE","sUDE","sUDE",
"STR_SGUNPLAY_MOD_INFO_OVERVIEW","Visit the website for more info","Visit the website for more info","Visit the website for more info","Visit the website for more info","Visit the website for more info","Visit the website for more info","Visit the website for more info","Visit the website for more info","Visit the website for more info","Visit the website for more info","Visit the website for more info","Visit the website for more info","Visit the website for more info","Visit the website for more info",
"STR_SUDE_LAYOUT_OPTIONS_GUNPLAY","Gunplay","Gunplay","Gunplay","Gunplay","Gunplay","Gunplay","Gunplay","Gunplay","Gunplay","Gunplay","Gunplay","Gunplay","Gunplay","Gunplay",
"STR_SUDE_LAYOUT_OPTIONS_GUNPLAY_LENSZOOM","Lens magnification","Lens magnification","Lens magnification","Lens magnification","Lens magnification","Lens magnification","Lens magnification","Lens magnification","Lens magnification","Lens magnification","Lens magnification","Lens magnification","Lens magnification","Lens magnification",
"STR_SUDE_LAYOUT_OPTIONS_GUNPLAY_LENSZOOM_DESCRIPTION","Change the desired lens magnification effect value, between the minimum and maximum value set by the server","Change the desired lens magnification effect value, between the minimum and maximum value set by the server","Change the desired lens magnification effect value, between the minimum and maximum value set by the server","Change the desired lens magnification effect value, between the minimum and maximum value set by the server","Change the desired lens magnification effect value, between the minimum and maximum value set by the server","Change the desired lens magnification effect value, between the minimum and maximum value set by the server","Change the desired lens magnification effect value, between the minimum and maximum value set by the server","Change the desired lens magnification effect value, between the minimum and maximum value set by the server","Change the desired lens magnification effect value, between the minimum and maximum value set by the server","Change the desired lens magnification effect value, between the minimum and maximum value set by the server","Change the desired lens magnification effect value, between the minimum and maximum value set by the server","Change the desired lens magnification effect value, between the minimum and maximum value set by the server","Change the desired lens magnification effect value, between the minimum and maximum value set by the server","Change the desired lens magnification effect value, between the minimum and maximum value set by the server",
"STR_SUDE_LAYOUT_OPTIONS_GUNPLAY_ADS_FOV_REDUCTION","ADS FOV Reduction","ADS FOV Reduction","ADS FOV Reduction","ADS FOV Reduction","ADS FOV Reduction","ADS FOV Reduction","ADS FOV Reduction","ADS FOV Reduction","ADS FOV Reduction","ADS FOV Reduction","ADS FOV Reduction","ADS FOV Reduction","ADS FOV Reduction","ADS FOV Reduction",
"STR_SUDE_LAYOUT_OPTIONS_GUNPLAY_ADS_FOV_REDUCTION_DESCRIPTION,"Change the desired Field of View reduction while Aiming Down Sight","Change the desired Field of View reduction while Aiming Down Sight","Change the desired Field of View reduction while Aiming Down Sight","Change the desired Field of View reduction while Aiming Down Sight","Change the desired Field of View reduction while Aiming Down Sight","Change the desired Field of View reduction while Aiming Down Sight","Change the desired Field of View reduction while Aiming Down Sight","Change the desired Field of View reduction while Aiming Down Sight","Change the desired Field of View reduction while Aiming Down Sight","Change the desired Field of View reduction while Aiming Down Sight","Change the desired Field of View reduction while Aiming Down Sight","Change the desired Field of View reduction while Aiming Down Sight","Change the desired Field of View reduction while Aiming Down Sight","Change the desired Field of View reduction while Aiming Down Sight",
"STR_SUDE_LAYOUT_OPTIONS_GUNPLAY_HIDE_BARREL","Hide weapon barrel","Hide weapon barrel","Hide weapon barrel","Hide weapon barrel","Hide weapon barrel","Hide weapon barrel","Hide weapon barrel","Hide weapon barrel","Hide weapon barrel","Hide weapon barrel","Hide weapon barrel","Hide weapon barrel","Hide weapon barrel","Hide weapon barrel",
"STR_SUDE_LAYOUT_OPTIONS_GUNPLAY_HIDE_BARREL_DESCRIPTION","Hide the weapon barrel while in a optic","Hide the weapon barrel while in a optic","Hide the weapon barrel while in a optic","Hide the weapon barrel while in a optic","Hide the weapon barrel while in a optic","Hide the weapon barrel while in a optic","Hide the weapon barrel while in a optic","Hide the weapon barrel while in a optic","Hide the weapon barrel while in a optic","Hide the weapon barrel while in a optic","Hide the weapon barrel while in a optic","Hide the weapon barrel while in a optic","Hide the weapon barrel while in a optic","Hide the weapon barrel while in a optic",
"STR_SUDE_LAYOUT_OPTIONS_GUNPLAY_DEADZONE","Deadzone","Deadzone","Deadzone","Deadzone","Deadzone","Deadzone","Deadzone","Deadzone","Deadzone","Deadzone","Deadzone","Deadzone","Deadzone","Deadzone",
"STR_SUDE_LAYOUT_OPTIONS_GUNPLAY_DEADZONE_UPDOWN_DESCRIPTION","Change the vertical deadzone","Change the vertical deadzone","Change the vertical deadzone","Change the vertical deadzone","Change the vertical deadzone","Change the vertical deadzone","Change the vertical deadzone","Change the vertical deadzone","Change the vertical deadzone","Change the vertical deadzone","Change the vertical deadzone","Change the vertical deadzone","Change the vertical deadzone","Change the vertical deadzone",
"STR_SUDE_LAYOUT_OPTIONS_GUNPLAY_DEADZONE_LEFTRIGHT_DESCRIPTION","Change the horizontal deadzone","Change the horizontal deadzone","Change the horizontal deadzone","Change the horizontal deadzone","Change the horizontal deadzone","Change the horizontal deadzone","Change the horizontal deadzone","Change the horizontal deadzone","Change the horizontal deadzone","Change the horizontal deadzone","Change the horizontal deadzone","Change the horizontal deadzone","Change the horizontal deadzone","Change the horizontal deadzone",
"STR_SUDE_LAYOUT_OPTIONS_GUNPLAY_DEADZONE_UP_DESCRIPTION","Change the +Y deadzone","Change the +Y deadzone","Change the +Y deadzone","Change the +Y deadzone","Change the +Y deadzone","Change the +Y deadzone","Change the +Y deadzone","Change the +Y deadzone","Change the +Y deadzone","Change the +Y deadzone","Change the +Y deadzone","Change the +Y deadzone","Change the +Y deadzone","Change the +Y deadzone",
"STR_SUDE_LAYOUT_OPTIONS_GUNPLAY_DEADZONE_RIGHT_DESCRIPTION","Change the +X deadzone","Change the +X deadzone","Change the +X deadzone","Change the +X deadzone","Change the +X deadzone","Change the +X deadzone","Change the +X deadzone","Change the +X deadzone","Change the +X deadzone","Change the +X deadzone","Change the +X deadzone","Change the +X deadzone","Change the +X deadzone","Change the +X deadzone",
"STR_SUDE_LAYOUT_OPTIONS_GUNPLAY_DEADZONE_DOWN_DESCRIPTION","Change the -Y deadzone","Change the -Y deadzone","Change the -Y deadzone","Change the -Y deadzone","Change the -Y deadzone","Change the -Y deadzone","Change the -Y deadzone","Change the -Y deadzone","Change the -Y deadzone","Change the -Y deadzone","Change the -Y deadzone","Change the -Y deadzone","Change the -Y deadzone","Change the -Y deadzone",
"STR_SUDE_LAYOUT_OPTIONS_GUNPLAY_DEADZONE_LEFT_DESCRIPTION","Change the -X deadzone","Change the -X deadzone","Change the -X deadzone","Change the -X deadzone","Change the -X deadzone","Change the -X deadzone","Change the -X deadzone","Change the -X deadzone","Change the -X deadzone","Change the -X deadzone","Change the -X deadzone","Change the -X deadzone","Change the -X deadzone","Change the -X deadzone",
